datetime_sydney,audusd_futures,actual_option_mark_0.7200,actual_option_mark_0.7275,actual_option_mark_0.7350
2026-05-04 10:30:00+10:00,0.7203500270843506,,,
2026-05-04 16:00:00+10:00,0.7202500104904175,,,
2026-05-04 21:30:00+10:00,0.7172999978065491,,,
2026-05-05 03:30:00+10:00,0.7164000272750854,,,
2026-05-05 10:00:00+10:00,0.715499997138977,,,
2026-05-05 15:30:00+10:00,0.7133499979972839,,,
2026-05-05 21:00:00+10:00,0.7167500257492065,,,
2026-05-06 03:00:00+10:00,0.7181000113487244,,,
2026-05-06 09:30:00+10:00,0.7197499871253967,,,
2026-05-06 15:00:00+10:00,0.7239999771118164,,,
