datetime_sydney,audusd_futures,Open,High,Low,Volume,time_to_expiry_years,mark_0.7200,pnl_0.7200,mark_0.7275,pnl_0.7275,mark_0.7350,pnl_0.7350,estimated_total_pnl_usd
2026-05-04 10:30:00+10:00,0.7203500270843506,0.7202000021934509,0.720550000667572,0.7201499938964844,598,0.08921232876712329,0.007441450159234022,42414.501592340224,0.00428825587742213,-63765.1175484426,0.0022392815567214095,19392.815567214093,-1957.8003888882813
2026-05-04 11:00:00+10:00,0.7196000218391418,0.7203500270843506,0.7203500270843506,0.7195500135421753,1227,0.08915525114155251,0.007062219357067955,38622.19357067955,0.004027826826817312,-58556.536536346226,0.0020795204360140387,17795.20436014039,-2139.1386055262883
2026-05-04 11:30:00+10:00,0.7203500270843506,0.7196499705314636,0.7203500270843506,0.7196499705314636,929,0.08909817351598173,0.0074368380891407185,42368.380891407185,0.004283943994134366,-63678.87988268731,0.002235862847410779,19358.62847410779,-1951.870517172334
2026-05-04 12:00:00+10:00,0.7196499705314636,0.7203999757766724,0.7204499840736389,0.7196000218391418,1785,0.08904109589041095,0.007082328407237654,38823.28407237653,0.004040431748713675,-58808.63497427349,0.0020864586911231693,17864.586911231694,-2120.763990665262
2026-05-04 12:30:00+10:00,0.7203500270843506,0.7196499705314636,0.7204499840736389,0.7196499705314636,772,0.08898401826484019,0.007432222994469578,42322.22994469579,0.004279629711573675,-63592.5942314735,0.0022324432899759696,19324.432899759697,-1945.9313870180122
2026-05-04 13:00:00+10:00,0.7201499938964844,0.7202500104904175,0.7203500270843506,0.7200999855995178,561,0.08892694063926941,0.0073281878497761035,41281.878497761034,0.004207518834534716,-62150.37669069432,0.0021877695924154604,18877.695924154606,-1990.8022687786797
2026-05-04 13:30:00+10:00,0.7209500074386597,0.7201499938964844,0.7211499810218811,0.7199500203132629,2994,0.08886986301369863,0.007737944385497753,45379.44385497752,0.004489980026357849,-67799.60052715697,0.0023617129225639998,20617.129225639997,-1803.027446539454
2026-05-04 14:00:00+10:00,0.7203999757766724,0.7208999991416931,0.7208999991416931,0.7203500270843506,846,0.08881278538812785,0.007450832030130461,42508.3203013046,0.004290742904399578,-63814.85808799155,0.00223813284670691,19381.328467069103,-1925.2093196178503
2026-05-04 14:30:00+10:00,0.7202500104904175,0.7203500270843506,0.7203999757766724,0.7201499938964844,582,0.08875570776255708,0.007372011117189226,41720.11117189225,0.004235930501156733,-62718.61002313466,0.0022040626050179365,19040.626050179366,-1957.8728010630439
2026-05-04 15:00:00+10:00,0.7199000120162964,0.7202000021934509,0.7204499840736389,0.7199000120162964,772,0.0886986301369863,0.007193041156420041,39930.41156420041,0.004112682695634391,-60253.65391268781,0.0021282657268298063,18282.657268298062,-2040.5850801893394
2026-05-04 15:30:00+10:00,0.7202000021934509,0.7199000120162964,0.7202500104904175,0.7197499871253967,532,0.08864155251141552,0.007341981848753583,41419.81848753583,0.004214167520518809,-62283.35041037617,0.0021899536627804743,18899.536627804744,-1963.9952950356019
2026-05-04 16:00:00+10:00,0.7202500104904175,0.7202500104904175,0.7203500270843506,0.7200499773025513,750,0.08858447488584476,0.007365073144322522,41650.73144322521,0.004229461560849812,-62589.231216996246,0.002198951836958945,18989.518369589452,-1948.9814041815844
2026-05-04 16:30:00+10:00,0.7192500233650208,0.7202500104904175,0.7203500270843506,0.7188500165939331,1969,0.08852739726027398,0.006865119748230248,36651.19748230248,0.0038880031834014925,-55760.063668029856,0.0019908776440841626,16908.776440841626,-2200.0897448857504
2026-05-04 17:00:00+10:00,0.7185500264167786,0.7192500233650208,0.7192500233650208,0.718500018119812,2005,0.0884703196347032,0.006527453627721596,33274.53627721596,0.0036602546823590785,-51205.09364718157,0.001853989735008498,15539.89735008498,-2390.6600198806354
2026-05-04 17:30:00+10:00,0.7185999751091003,0.7185999751091003,0.7189499735832214,0.7183499932289124,1243,0.08841324200913242,0.006548720095143311,33487.20095143311,0.003673964031702219,-51479.28063404438,0.001861821038454174,15618.210384541739,-2373.8692980695323
2026-05-04 18:00:00+10:00,0.7189000248908997,0.7185500264167786,0.7189000248908997,0.7182499766349792,1743,0.08835616438356164,0.006689169599920935,34891.69599920935,0.0037676901513627177,-53353.803027254355,0.001917496599947359,16174.965999473592,-2287.1410285714155
2026-05-04 18:30:00+10:00,0.7189000248908997,0.7188500165939331,0.7192999720573425,0.7188000082969666,1354,0.08829908675799086,0.0066868569430749486,34868.569430749485,0.0037655998576563675,-53311.99715312734,0.0019158959868174885,16158.959868174885,-2284.4678542029706
2026-05-04 19:00:00+10:00,0.7192500233650208,0.7189499735832214,0.7192999720573425,0.7189000248908997,644,0.08824200913242009,0.006853548113886243,36535.48113886243,0.0038774596426506113,-55549.19285301222,0.0019827389513903154,16827.389513903156,-2186.322200246632
2026-05-04 19:30:00+10:00,0.7190999984741211,0.7192500233650208,0.7193999886512756,0.7190999984741211,684,0.08818493150684932,0.006778461465356353,35784.61465356353,0.003826216092494308,-54524.32184988617,0.0019515565280222244,16515.565280222243,-2224.141916100398
2026-05-04 20:00:00+10:00,0.7174999713897705,0.7190999984741211,0.7191500067710876,0.7162500023841858,11452,0.08812785388127854,0.006030672357477594,28306.723574775944,0.003327605550486378,-44552.11100972755,0.001655684871560666,13556.848715606662,-2688.538719344946
2026-05-04 20:30:00+10:00,0.7179499864578247,0.7175499796867371,0.7186499834060669,0.7174500226974487,4821,0.08807077625570776,0.0062323834002245395,30323.834002245392,0.0034602012540153656,-47204.02508030731,0.0017331504257922655,14331.504257922656,-2548.686820139259
2026-05-04 21:00:00+10:00,0.7174999713897705,0.7179499864578247,0.7182999849319458,0.7172499895095825,2328,0.08801369863013699,0.006026077108301625,28260.77108301625,0.0033235843926963985,-44471.68785392797,0.001652703796533863,13527.037965338628,-2683.878805573093
2026-05-04 21:30:00+10:00,0.7172999978065491,0.7174500226974487,0.7174999713897705,0.7170500159263611,2958,0.08795662100456621,0.005934547042754185,27345.470427541844,0.0032630219593541183,-43260.43918708236,0.0016170782039424693,13170.782039424694,-2744.186720115822
2026-05-04 22:00:00+10:00,0.7184000015258789,0.7172999978065491,0.7184500098228455,0.7172999978065491,2789,0.08789954337899543,0.0064338764055632105,32338.764055632102,0.003592511067201334,-49850.22134402668,0.0018103368283767997,15103.368283767999,-2408.0890046265777
2026-05-04 22:30:00+10:00,0.7182000279426575,0.7184000015258789,0.7185999751091003,0.7180500030517578,1618,0.08784246575342466,0.006338406247655687,31384.06247655687,0.0035284592911079033,-48569.18582215807,0.0017720920187287274,14720.920187287276,-2464.203158313925
2026-05-04 23:00:00+10:00,0.7178999781608582,0.7182000279426575,0.7191500067710876,0.717199981212616,6967,0.08778538812785389,0.006197963609271932,29979.63609271932,0.003434870319446048,-46697.40638892096,0.0017166211310959867,14166.211310959867,-2551.5589852417706
2026-05-04 23:30:00+10:00,0.7180500030517578,0.7179499864578247,0.7184000015258789,0.7178500294685364,2147,0.08772831050228311,0.006264472025627505,30644.720256275054,0.003478373049192161,-47567.46098384322,0.0017418858238092394,14418.858238092394,-2503.8824894757745
2026-05-05 00:00:00+10:00,0.7181500196456909,0.7179999947547913,0.7185500264167786,0.7176499962806702,4528,0.08767123287671233,0.006308310724911938,31083.10724911938,0.003506921847331848,-48138.43694663696,0.0017583822879081714,14583.822879081716,-2471.5068184358643
2026-05-05 00:30:00+10:00,0.7178999781608582,0.7182000279426575,0.7185500264167786,0.7177000045776367,7587,0.08761415525114155,0.006191035940981644,29910.35940981644,0.0034287558369690938,-46575.116739381876,0.001712052853501106,14120.528535011063,-2544.228794554374
2026-05-05 01:00:00+10:00,0.7171000242233276,0.7179499864578247,0.7182999849319458,0.7162500023841858,10189,0.08755707762557077,0.005830129178401803,26301.291784018027,0.0031913117719857866,-41826.235439715725,0.0015732885690155742,12732.885690155743,-2792.057965541955
2026-05-05 01:30:00+10:00,0.7160500288009644,0.7171000242233276,0.7171000242233276,0.7156999707221985,7769,0.0875,0.005378327096532325,21783.270965323252,0.002898653876258656,-35973.07752517312,0.001405115579497492,11051.155794974922,-3138.650764874943
2026-05-05 02:00:00+10:00,0.7156999707221985,0.7160500288009644,0.7163000106811523,0.7148000001907349,9820,0.08744292237442923,0.005231512036653252,20315.120366532523,0.0028043531717328127,-34087.06343465626,0.0013514241522602727,10514.241522602728,-3257.7015455210076
2026-05-05 02:30:00+10:00,0.7152500152587891,0.7156999707221985,0.7159000039100647,0.7152500152587891,4212,0.08738584474885845,0.005047346886426145,18473.468864261446,0.002686985257672712,-31739.70515345424,0.001285163314792806,9851.63314792806,-3414.6031412647353
2026-05-05 03:00:00+10:00,0.7166000008583069,0.7152500152587891,0.7166500091552734,0.7152000069618225,4247,0.08732876712328767,0.00560392464367798,24039.246436779802,0.0030424773379832937,-38849.54675966587,0.0014863355885934633,11863.355885934634,-2946.944436951435
2026-05-05 03:30:00+10:00,0.7164000272750854,0.7166000008583069,0.71670001745224,0.7160999774932861,1133,0.0872716894977169,0.00551637463153624,23163.746315362398,0.002985496491947876,-37709.92983895752,0.0014534372192275778,11534.37219227578,-3011.8113313193426
2026-05-05 04:00:00+10:00,0.7164000272750854,0.7164000272750854,0.7167500257492065,0.7160500288009644,1126,0.08721461187214612,0.005514090561677533,23140.905616775326,0.0029835505873558317,-37671.01174711663,0.0014520344295697062,11520.344295697063,-3009.7618346442414
2026-05-05 04:30:00+10:00,0.71670001745224,0.7164000272750854,0.7167500257492065,0.7160000205039978,5355,0.08715753424657534,0.0056400220162793014,24400.22016279301,0.003064383838917799,-39287.67677835598,0.0014980084980106634,11980.084980106636,-2907.3716354563294
2026-05-05 05:00:00+10:00,0.7166500091552734,0.71670001745224,0.716949999332428,0.7163000106811523,4986,0.08710045662100456,0.005616220545787246,24162.20545787246,0.0030485049934404892,-38970.09986880978,0.0014886039887821308,11886.03988782131,-2921.8545231160133
2026-05-05 05:30:00+10:00,0.7166000008583069,0.7166500091552734,0.7168999910354614,0.7164499759674072,1169,0.0870433789954338,0.005592475234709952,23924.752347099522,0.003032678912413947,-38653.57824827894,0.0014792412283922386,11792.412283922386,-2936.413617257029
2026-05-05 06:00:00+10:00,0.7160500288009644,0.7166000008583069,0.7166000008583069,0.7159500122070312,1384,0.08698630136986302,0.005357856299162049,21578.562991620485,0.002881354456550823,-35627.08913101645,0.001392743701540128,10927.43701540128,-3121.089123994687
2026-05-05 06:30:00+10:00,0.7161499857902527,0.7160500288009644,0.7161999940872192,0.7159500122070312,705,0.08692922374429224,0.005397312103433276,21973.121034332762,0.002906156456186401,-36123.129123728024,0.0014065274227639474,11065.274227639475,-3084.733861755787
2026-05-05 08:00:00+10:00,0.7161999940872192,0.7164000272750854,0.7164000272750854,0.7160500288009644,272,0.0867579908675799,0.005411421383273629,22114.213832736285,0.0029137906448184567,-36275.812896369134,0.0014100005363734199,11100.0053637342,-3061.593699898649
2026-05-05 08:30:00+10:00,0.7161999940872192,0.7162500023841858,0.7163500189781189,0.7161499857902527,358,0.08670091324200913,0.005409136083416578,22091.360834165775,0.0029118546718942652,-36237.093437885305,0.0014086140479707746,11086.140479707747,-3059.592124011784
2026-05-05 09:00:00+10:00,0.7163000106811523,0.7162500023841858,0.7163500189781189,0.7161999940872192,250,0.08664383561643836,0.005448920864564612,22489.20864564612,0.0029369014286033954,-36738.0285720679,0.0014225513351477652,11225.513351477653,-3023.3065749441303
2026-05-05 09:30:00+10:00,0.7161999940872192,0.7162500023841858,0.7163500189781189,0.7161999940872192,352,0.08658675799086758,0.005404563279661381,22045.63279661381,0.002907981528366938,-36159.630567338754,0.0014058411491482286,11058.411491482288,-3055.586279242658
2026-05-05 10:00:00+10:00,0.715499997138977,0.7162500023841858,0.7166500091552734,0.715399980545044,1812,0.0865296803652968,0.00511394849497868,19139.484949786794,0.0027224043177859346,-32448.086355718693,0.0013009586760261264,10009.586760261265,-3299.0146456706334
2026-05-05 10:30:00+10:00,0.715499997138977,0.715499997138977,0.7157999873161316,0.7153000235557556,898,0.08647260273972603,0.005111681376160673,19116.813761606725,0.002720515725740578,-32410.314514811562,0.0012996289291870209,9996.28929187021,-3297.2114613346275
2026-05-05 11:00:00+10:00,0.7149999737739563,0.715499997138977,0.715499997138977,0.7147499918937683,3028,0.08641552511415525,0.004909972414308163,17099.724143081625,0.00259291937946672,-29858.3875893344,0.0012282536458016033,9282.536458016033,-3476.1269882367433
2026-05-05 11:30:00+10:00,0.7152000069618225,0.7150499820709229,0.7153499722480774,0.7149500250816345,1004,0.08635844748858447,0.004986853733526317,17868.537335263172,0.0026408067685527027,-30816.135371054053,0.0012545968296990015,9545.968296990017,-3401.6297388008643
2026-05-05 12:00:00+10:00,0.715749979019165,0.7152000069618225,0.7159000039100647,0.715149998664856,684,0.0863013698630137,0.005206591984285924,20065.919842859235,0.002779337255116896,-33586.745102337925,0.0013317961963261948,10317.961963261949,-3202.863296216741
2026-05-05 12:30:00+10:00,0.715499997138977,0.715749979019165,0.7159500122070312,0.715499997138977,833,0.08624429223744293,0.0051026057283712215,19026.057283712213,0.0027129577756295083,-32259.155512590165,0.0012943105706259407,9943.105706259408,-3289.992522618544
2026-05-05 13:00:00+10:00,0.7153499722480774,0.715499997138977,0.7156000137329102,0.7152500152587891,420,0.08618721461187215,0.005039949677283454,18399.496772834544,0.002672925750597743,-31458.515011954856,0.0012716861364370153,9716.861364370154,-3342.1568747501587
2026-05-05 13:30:00+10:00,0.7148000001907349,0.7153000235557556,0.7153000235557556,0.7148000001907349,959,0.08613013698630137,0.004820487559509589,16204.875595095888,0.0025346884038088763,-28693.768076177523,0.0011947385191845921,8947.385191845922,-3541.507289235713
2026-05-05 14:00:00+10:00,0.7152500152587891,0.7150499820709229,0.7154499888420105,0.7149500250816345,1353,0.08607305936073059,0.004995459855656794,17954.59855656794,0.002643990794668765,-30879.815893375297,0.0012550362400335965,9550.362400335966,-3374.854936471391
2026-05-05 14:30:00+10:00,0.7146000266075134,0.715149998664856,0.7164999842643738,0.7145500183105469,5514,0.08601598173515981,0.004738643708568076,15386.437085680755,0.002482776726818715,-27655.5345363743,0.0011656400311982648,8656.400311982648,-3612.697138710897
2026-05-05 15:00:00+10:00,0.7138500213623047,0.7145500183105469,0.7148000001907349,0.7137500047683716,3154,0.08595890410958903,0.004453938102556297,12539.381025562969,0.002306270507215999,-24125.410144319976,0.0010690686968558062,7690.686968558062,-3895.342150198945
2026-05-05 15:30:00+10:00,0.7133499979972839,0.7139000296592712,0.7140499949455261,0.7129499912261963,7714,0.08590182648401827,0.004270049813781931,10700.498137819312,0.0021933789394762626,-21867.57878952525,0.0010079516146086938,7079.516146086939,-4087.5645056189996
