datetime_sydney,audusd_futures,Open,High,Low,Volume
2026-05-04 10:30:00+10:00,0.7203500270843506,0.7202000021934509,0.720550000667572,0.7201499938964844,598
2026-05-04 11:00:00+10:00,0.7196000218391418,0.7203500270843506,0.7203500270843506,0.7195500135421753,1227
2026-05-04 11:30:00+10:00,0.7203500270843506,0.7196499705314636,0.7203500270843506,0.7196499705314636,929
2026-05-04 12:00:00+10:00,0.7196499705314636,0.7203999757766724,0.7204499840736389,0.7196000218391418,1785
2026-05-04 12:30:00+10:00,0.7203500270843506,0.7196499705314636,0.7204499840736389,0.7196499705314636,772
2026-05-04 13:00:00+10:00,0.7201499938964844,0.7202500104904175,0.7203500270843506,0.7200999855995178,561
2026-05-04 13:30:00+10:00,0.7209500074386597,0.7201499938964844,0.7211499810218811,0.7199500203132629,2994
2026-05-04 14:00:00+10:00,0.7203999757766724,0.7208999991416931,0.7208999991416931,0.7203500270843506,846
2026-05-04 14:30:00+10:00,0.7202500104904175,0.7203500270843506,0.7203999757766724,0.7201499938964844,582
2026-05-04 15:00:00+10:00,0.7199000120162964,0.7202000021934509,0.7204499840736389,0.7199000120162964,772
2026-05-04 15:30:00+10:00,0.7202000021934509,0.7199000120162964,0.7202500104904175,0.7197499871253967,532
2026-05-04 16:00:00+10:00,0.7202500104904175,0.7202500104904175,0.7203500270843506,0.7200499773025513,750
2026-05-04 16:30:00+10:00,0.7192500233650208,0.7202500104904175,0.7203500270843506,0.7188500165939331,1969
2026-05-04 17:00:00+10:00,0.7185500264167786,0.7192500233650208,0.7192500233650208,0.718500018119812,2005
2026-05-04 17:30:00+10:00,0.7185999751091003,0.7185999751091003,0.7189499735832214,0.7183499932289124,1243
2026-05-04 18:00:00+10:00,0.7189000248908997,0.7185500264167786,0.7189000248908997,0.7182499766349792,1743
2026-05-04 18:30:00+10:00,0.7189000248908997,0.7188500165939331,0.7192999720573425,0.7188000082969666,1354
2026-05-04 19:00:00+10:00,0.7192500233650208,0.7189499735832214,0.7192999720573425,0.7189000248908997,644
2026-05-04 19:30:00+10:00,0.7190999984741211,0.7192500233650208,0.7193999886512756,0.7190999984741211,684
2026-05-04 20:00:00+10:00,0.7174999713897705,0.7190999984741211,0.7191500067710876,0.7162500023841858,11452
2026-05-04 20:30:00+10:00,0.7179499864578247,0.7175499796867371,0.7186499834060669,0.7174500226974487,4821
2026-05-04 21:00:00+10:00,0.7174999713897705,0.7179499864578247,0.7182999849319458,0.7172499895095825,2328
2026-05-04 21:30:00+10:00,0.7172999978065491,0.7174500226974487,0.7174999713897705,0.7170500159263611,2958
2026-05-04 22:00:00+10:00,0.7184000015258789,0.7172999978065491,0.7184500098228455,0.7172999978065491,2789
2026-05-04 22:30:00+10:00,0.7182000279426575,0.7184000015258789,0.7185999751091003,0.7180500030517578,1618
2026-05-04 23:00:00+10:00,0.7178999781608582,0.7182000279426575,0.7191500067710876,0.717199981212616,6967
2026-05-04 23:30:00+10:00,0.7180500030517578,0.7179499864578247,0.7184000015258789,0.7178500294685364,2147
2026-05-05 00:00:00+10:00,0.7181500196456909,0.7179999947547913,0.7185500264167786,0.7176499962806702,4528
2026-05-05 00:30:00+10:00,0.7178999781608582,0.7182000279426575,0.7185500264167786,0.7177000045776367,7587
2026-05-05 01:00:00+10:00,0.7171000242233276,0.7179499864578247,0.7182999849319458,0.7162500023841858,10189
2026-05-05 01:30:00+10:00,0.7160500288009644,0.7171000242233276,0.7171000242233276,0.7156999707221985,7769
2026-05-05 02:00:00+10:00,0.7156999707221985,0.7160500288009644,0.7163000106811523,0.7148000001907349,9820
2026-05-05 02:30:00+10:00,0.7152500152587891,0.7156999707221985,0.7159000039100647,0.7152500152587891,4212
2026-05-05 03:00:00+10:00,0.7166000008583069,0.7152500152587891,0.7166500091552734,0.7152000069618225,4247
2026-05-05 03:30:00+10:00,0.7164000272750854,0.7166000008583069,0.71670001745224,0.7160999774932861,1133
2026-05-05 04:00:00+10:00,0.7164000272750854,0.7164000272750854,0.7167500257492065,0.7160500288009644,1126
2026-05-05 04:30:00+10:00,0.71670001745224,0.7164000272750854,0.7167500257492065,0.7160000205039978,5355
2026-05-05 05:00:00+10:00,0.7166500091552734,0.71670001745224,0.716949999332428,0.7163000106811523,4986
2026-05-05 05:30:00+10:00,0.7166000008583069,0.7166500091552734,0.7168999910354614,0.7164499759674072,1169
2026-05-05 06:00:00+10:00,0.7160500288009644,0.7166000008583069,0.7166000008583069,0.7159500122070312,1384
2026-05-05 06:30:00+10:00,0.7161499857902527,0.7160500288009644,0.7161999940872192,0.7159500122070312,705
2026-05-05 08:00:00+10:00,0.7161999940872192,0.7164000272750854,0.7164000272750854,0.7160500288009644,272
2026-05-05 08:30:00+10:00,0.7161999940872192,0.7162500023841858,0.7163500189781189,0.7161499857902527,358
2026-05-05 09:00:00+10:00,0.7163000106811523,0.7162500023841858,0.7163500189781189,0.7161999940872192,250
2026-05-05 09:30:00+10:00,0.7161999940872192,0.7162500023841858,0.7163500189781189,0.7161999940872192,352
2026-05-05 10:00:00+10:00,0.715499997138977,0.7162500023841858,0.7166500091552734,0.715399980545044,1812
2026-05-05 10:30:00+10:00,0.715499997138977,0.715499997138977,0.7157999873161316,0.7153000235557556,898
2026-05-05 11:00:00+10:00,0.7149999737739563,0.715499997138977,0.715499997138977,0.7147499918937683,3028
2026-05-05 11:30:00+10:00,0.7152000069618225,0.7150499820709229,0.7153499722480774,0.7149500250816345,1004
2026-05-05 12:00:00+10:00,0.715749979019165,0.7152000069618225,0.7159000039100647,0.715149998664856,684
2026-05-05 12:30:00+10:00,0.715499997138977,0.715749979019165,0.7159500122070312,0.715499997138977,833
2026-05-05 13:00:00+10:00,0.7153499722480774,0.715499997138977,0.7156000137329102,0.7152500152587891,420
2026-05-05 13:30:00+10:00,0.7148000001907349,0.7153000235557556,0.7153000235557556,0.7148000001907349,959
2026-05-05 14:00:00+10:00,0.7152500152587891,0.7150499820709229,0.7154499888420105,0.7149500250816345,1353
2026-05-05 14:30:00+10:00,0.7146000266075134,0.715149998664856,0.7164999842643738,0.7145500183105469,5514
2026-05-05 15:00:00+10:00,0.7138500213623047,0.7145500183105469,0.7148000001907349,0.7137500047683716,3154
